TimeGenerated [UTC],Account,Computer,cityname,countryname,latitude,longitude
"3/10/2025, 9:08:35.619 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:08:41.257 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:08:42.789 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:08:48.730 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:08:49.890 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:08:56.218 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:08:57.041 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:00.627 PM",\ADMINISTRATOR,WORK-NET-US-EAS,,Singapore,1.2929,103.8547
"3/10/2025, 9:09:03.632 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:04.303 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:11.137 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:11.443 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:18.682 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:18.691 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:22.316 PM",CONTOSO.COM\media,WORK-NET-US-EAS,Barnet,United Kingdom,51.6534,-0.1994
"3/10/2025, 9:09:22.316 PM",CONTOSO.COM\media,WORK-NET-US-EAS,Newton Aycliffe,United Kingdom,54.6,-1.55
"3/10/2025, 9:09:25.820 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:26.182 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:27.539 PM",\ADMIN,WORK-NET-US-EAS,,Singapore,1.2929,103.8547
"3/10/2025, 9:09:32.994 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:33.636 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:40.185 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:41.190 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:47.321 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:48.629 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:54.575 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:56.102 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:09:56.477 PM",\VMADMIN,WORK-NET-US-EAS,,Singapore,1.2929,103.8547
"3/10/2025, 9:10:01.763 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:10:02.625 PM",CONTOSO.COM\developer,WORK-NET-US-EAS,Karlskrona,Sweden,56.1625,15.5801
"3/10/2025, 9:10:03.490 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:10:08.973 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:10:10.973 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 9:10:12.068 PM",CONTOSO.COM\slack,WORK-NET-US-EAS,Barnet,United Kingdom,51.6534,-0.1994
"3/10/2025, 9:10:12.068 PM",CONTOSO.COM\slack,WORK-NET-US-EAS,Newton Aycliffe,United Kingdom,54.6,-1.55
"3/10/2025, 9:10:16.091 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
